date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016/7/1 0:00,33,33,33,33,19.14880575,0,38.66199875
2016/7/1 0:00,33.26666667,33.33333333,32.4,32.93333333,19.1101237,111.45,37.12400055
2016/7/1 0:00,31.26666667,32.66666667,31.13333333,32.6,18.91670125,269.4,36.46500015
2016/7/1 0:00,32.06666667,32.33333333,29.26666667,29.26666667,16.98247986,282.65,33.60850143
2016/7/1 0:00,29,30.46666667,28.4,29.53333333,17.1372172,240.9,31.85050011
2016/7/1 0:00,29.53333333,29.53333333,29.53333333,29.53333333,17.1372172,0,30.53199959
2016/7/1 0:00,31.2,31.46666667,30.66666667,30.8,17.8722229,208.2,30.09300041
2016/7/1 0:00,30.46666667,30.46666667,29.73333333,30,17.40800985,168.8,29.87299919
2016/7/1 0:00,30.66666667,30.66666667,29.93333333,30.33333333,17.60142822,151.3,29.65299988
2016/7/1 0:00,30.66666667,30.86666667,30.13333333,30.86666667,17.91090291,181.45,29.21349907
2016/7/1 0:00,31.2,31.33333333,30.33333333,30.8,17.8722229,137.75,27.45599937
2016/7/1 0:00,30.46666667,30.46666667,29.4,29.6,17.17590129,152.2,27.45599937
2016/7/1 0:00,29.26666667,29.33333333,27.8,27.8,16.13141886,283.3,27.23649979
2016/7/1 0:00,28.46666667,29.6,28.33333333,29.53333333,17.1372172,243,26.57699966
2016/7/1 0:00,30,30.13333333,29.53333333,30.13333333,17.48537598,186.25,26.79700089
2016/7/1 0:00,30.06666667,30.66666667,29.86666667,30.66666667,17.7948527,181.75,26.79700089
2016/7/1 0:00,30,30.13333333,29.33333333,29.33333333,17.02116292,124.95,26.79700089
2016/7/1 0:00,30,30.26666667,29.73333333,30.26666667,17.56274414,118.8,26.57749939
2016/7/1 0:00,30.46666667,30.53333333,29.73333333,29.93333333,17.36932373,65.2,26.57749939
2016/7/1 0:00,30.6,30.66666667,30.13333333,30.66666667,17.7948527,131.25,26.13750076
2016/7/1 0:00,31,31.8,30.66666667,31.26666667,18.14301554,242.8,26.13750076
2016/7/1 0:00,31.6,31.86666667,30.86666667,31.73333333,18.41380412,193.6,25.69849968
2016/7/1 0:00,31.86666667,32.13333333,31.06666667,31.2,18.10432536,302.3,25.91799927
2016/7/1 0:00,31.33333333,31.33333333,30.8,30.8,17.8722229,212.25,25.91799927
2016/7/1 0:00,31.46666667,32.53333333,31.2,32,18.56854248,434.05,25.91799927
2016/7/1 0:00,32,33.8,31.73333333,33.26666667,19.30355021,572.85,26.35750008
2016/7/1 0:00,33.53333333,33.66666667,32.6,32.8,19.0327535,217.5,26.13750076
2016/7/1 0:00,33.33333333,33.46666667,32.46666667,32.66666667,18.9553894,181.95,25.69849968
2016/7/1 0:00,32.33333333,32.6,31.73333333,31.93333333,18.5298584,152.55,25.69849968
2016/7/1 0:00,31.93333333,31.93333333,31.93333333,31.93333333,18.5298584,0,25.91799927
2016/7/1 0:00,31.6,31.66666667,31.2,31.2,18.10432536,130.15,25.91799927
2016/7/1 0:00,31.2,31.26666667,29.93333333,30.13333333,17.48537598,133.65,25.91799927
